O*NET-SOC CODE	TITLE	DESCRIPTION
13-1041.03	Funcionarios que observan el cumplimiento de leyes que otorgan igualdad de oportunidad para obtener trabajo	Observan y evalúan que se cumplan con las leyes, principios y reglamentos estipulados por las leyes que otorgan igualdad de oportunidad para obtener empleo, de tal manera que las prácticas de empleo así como también los contractos de trabajo provean la misma oportunidad de obtener empleo sin importar la raza, religión, color, nacionalidad, sexo, edad o discapacidad del individuo.
13-1041.04	Inspectores e investigadores de las propiedades gubernamentales	Investigan o inspeccionan las propiedades gubernamentales para asegurarse de que cumplan con las estipulaciones establecidas en los contractos y con las normas del gobierno.
13-1041.05	Inspectores de recipientes de alta presión	Inspeccionan los equipos de alta presión para que cumplan con las leyes de seguridad y con las normas que regulan su diseño, fabricación, instalación, reparación y funcionamiento.
13-1041.06	Funcionarios encargados de investigar las causas de muertes violentas, repentinas o sospechosas	Realizan actividades tales como autopsias, análisis patológicos y toxicológicos, realizan pesquisas relacionadas con la investigación de muertes que ocurren dentro de una jurisdicción legal para determinar las causas de la muerte así como también determinar la responsabilidad por muertes repentinas, violentas o sospechosas.
13-1051.00	Estimadores de costos	Preparan las estimaciones de costos para la fabricación de productos, proyectos de construcción o servicios como ayuda a la gerencia en licitaciones o en la determinación del precio de un producto o servicio. Pueden especializarse por tipo de servicio que se preste o el tipo de producto que se fabrique.
13-1061.00	Especialistas en respuestas en casos de emergencia	Coordinan actividades de respuesta a desastres o gestión de crisis, proporcionan entrenamiento para casos de desastre y elaboran planes y procedimientos de emergencia ante desastres naturales (e.g., huracanes, inundaciones, terremotos), bélicos o tecnológicos (e.g., emergencias en centrales nucleoeléctricas, derrames de materiales peligrosos) o situaciones con rehenes.
13-1071.00	Especialistas en empleo, contratación y ubicación	Contratan y ubican a los trabajadores.
13-1071.01	Entrevistadores del servicio de empleo del sector público o privado	Entrevistan a las personas que solicitan trabajo en una oficina de reclutamiento y los remiten a los posibles empleadores para su consideración. Examinan los expedientes, informan a los candidatos seleccionados respecto a las vacantes disponibles y remiten a los candidatos calificados a posibles empleadores. Mantienen contacto con los empleadores para verificar los resultados de sus recomendaciones. Llevan un registro y evalúan diferentes datos pertinentes.
13-1071.02	Reclutadores de personal	Buscan, entrevistan y examinan candidatos para llenar vacantes existentes y futuras, además promueven las oportunidades de avance en la carrera dentro de una organización.
13-1072.00	Especialistas en indemnizaciones, prestaciones y análisis del perfil ocupacional	Llevan a cabo programas de indemnización y prestaciones y análisis del contenido del cargo para el empleador. Pueden especializarse en esferas específicas, tales como clasificación de cargos y programas de pensión.
13-1073.00	Especialistas en capacitación y desarrollo	Llevan a cabo programas de capacitación y desarrollo para los empleados.
13-1079.99	Otros especialistas en recursos humanos, capacitación y relaciones laborales	Todos los especialistas en recursos humanos, capacitación y relaciones laborales no clasificados bajo otros epígrafes.
13-1081.00	Especialistas en logística	Analizan y coordinan las funciones logísticas de una compañía u organización. Son jefes directos del ciclo de vida completo de un producto, incluidos la adquisición, distribución, asignación interna, entrega, y destino último de los recursos.
13-1111.00	Analistas de gestión	Llevan a cabo estudios y evaluaciones de la organización, diseño de sistemas y procedimientos, realizan simplificaciones del trabajo y estudios ergonométricos, y elaboran manuales de operaciones y procedimientos con el fin de contribuir a una gestión más eficaz y eficiente. Se incluye a los analistas de programas y consultores de gestión.
13-1121.00	Planificadores de conferencias y convenciones	Coordinan las actividades del personal especializado y la empleomanía que trabaja en los preparativos para reuniones de grupos y convenciones.
13-1199.99	Otros especialistas en operaciones empresariales	Todos los especialistas en operaciones empresariales no clasificados bajo otros epígrafes.
13-2011.00	Contadores y auditores	Examinan, analizan e interpretan registros contables con el fin de proporcionar asesoramiento o  de elaborar estados financieros. Instalan sistemas de registro de costos o de otros datos financieros y presupuestarios, y asesoran sobre ellos.
13-2011.01	Contadores	Analizan la información financiera y preparan estados financieros para determinar o llevar un registro de los activos, pasivos, utilidades, pérdidas, obligaciones fiscales u otras actividades financieras dentro de una organización.
13-2011.02	Auditores	Examinan y analizan los registros contables para determinar la situación financiera de la empresa y preparan los estados financieros relacionados con los procedimientos de operación.
13-2021.00	Tasadores y evaluadores inmobiliarios	Tasan bienes inmuebles para justipreciarlos. Pueden calcular los impuestos conforme a las tarifas establecidas.
13-2021.01	Asesores	Valúan inmuebles y propiedad personal para determinar su justo valor. Pueden calcular los impuestos de acuerdo con la tarifa recomendada.
13-2021.02	Valuadores de bienes raíces	Valúan inmuebles para determinar su valor de compra, de venta, como inversión, o con el objeto obtener un préstamo o hipoteca.
13-2031.00	Analistas de presupuestos	Examinan estimaciones presupuestarias para verificar que estén completas, que sean precisas y que cumplan con los reglamentos. Analizan los informes presupuestarios y contables con el fin de mantener el control de los gastos.
13-2041.00	Analistas de créditos	Analizan datos sobre créditos y estados financieros actualizados de personas o compañías para determinar el grado de riesgo que se correría al extenderle crédito o prestarle dinero. Preparan informes con esa información crediticia para su empleo en la formulación de decisiones.
13-2051.00	Analistas financieros	Llevan a cabo análisis cuantitativos de información que afecta los programas de inversiones de instituciones públicas o privadas.
13-2052.00	Asesores sobre finanzas personales	Aconsejan a sus clientes sobre planes financieros utilizando su conocimiento de las estrategias impositivas e inversionistas, valores, seguros, planes de pensión, y bienes inmuebles. Sus deberes comprenden evaluar activos, pasivos, flujo de caja, cobertura de seguro, situación fiscal, y objetivos financieros del cliente con el fin de elaborar estrategias inversionistas.
13-2053.00	Aseguradores	Examinan las solicitudes de aseguramiento personales a fin de evaluar el grado de riesgo que entrañan y decidir si se aceptan dichas solicitudes.
13-2061.00	Examinadores financieros	Aplican o garantizan el cumplimiento de las leyes y reglamentos que rigen las instituciones financieras y el mercado de valores y las transacciones financieras e inmobiliarias. Pueden examinar registros, verificar si son correctos y determinar su autenticidad.
13-2071.00	Asesores sobre préstamos	Proporciona orientación a los posibles solicitantes de préstamos que han enfrentado problemas con el cumplimiento de los requisitos para que se les concedan préstamos tradicionales. La orientación puede incluir determinar el mejor tipo de préstamo y explicar los requisitos o restricciones.
13-2072.00	Oficiales de préstamos	Evalúan, autorizan o recomiendan la aprobación de préstamos comerciales, inmobiliarios o crediticios. Aconsejan a los prestatarios sobre situación financiera y métodos de pago. Se incluye a los funcionarios y agentes de préstamos hipotecarios, analistas de cobros, funcionarios encargados del servicio de préstamos y aseguradores de préstamos.
13-2081.00	Examinadores y recaudadores de impuestos y agentes de la renta pública	Determinan las deudas impositivas y recaudan los impuestos de particulares o empresas conforme a lo que prescriben las leyes y los reglamentos.
13-2082.00	Preparadores de impuestos	Llenan los modelos de declaración de impuestos sobre la renta para particulares o pequeñas empresas pero no tienen ni los conocimientos ni las responsabilidades de un contador público graduado o  habilitado.
13-2099.00	Otros especialistas financieros	Todos los especialistas financieros no clasificados bajo otros epígrafes.
15-1011.00	Profesionales de la informática y la información, investigación	Llevan a cabo investigaciones en informática y información básicas como teóricos, diseñadores o inventores. Resuelven o desarrollan soluciones a problemas en la esfera del equipamiento (hardware) y la programación (software) informáticos.
15-1021.00	Programadores informáticos	Convierten las especificaciones de los proyectos y los planteamientos de problemas y procedimientos en diagramas de flujo lógicos y detallados para la codificación en lenguaje de programación. Desarrollan y escriben programas informáticos para almacenar, localizar y recuperar documentos, datos e información específicos. Pueden programar sitios en la red.
15-1031.00	Ingenieros de programación informática, aplicaciones	Desarrollan, crean y modifican programaciones para aplicaciones informáticas generales o programas utilitarios especializados. Analizan las necesidades del usuario y desarrollan soluciones mediante programas. Diseñan programas o los adaptan según el empleo al que los destine el usuario con la finalidad de elevar al máximo la eficiencia operacional. Pueden analizar y diseñar bases de datos dentro de una esfera de aplicación,  mediante trabajo individual o coordinando el desarrollo de la base de datos como parte de un equipo.
15-1032.00	Ingenieros de programación informática, programación de sistemas	Investigan, diseñan, desarrollan y prueban programas en el nivel del sistema operativo, compiladores y programas de distribución por redes para aplicaciones informáticas médicas, industriales, militares, de comunicaciones, aeroespaciales, comerciales, científicas y generales.  Establecen especificaciones operativas y formulan y analizan necesidades de programación. Aplican principios y técnicas de informática, ingeniería y análisis matemático.
15-1041.00	Especialistas de apoyo a las operaciones informáticas	Brindan asistencia técnica a los usuarios de sistemas informáticos. Responden preguntas o resuelven problemas informáticos a los clientes en persona, por teléfono o desde lugares remotos. Pueden brindar asistencia respecto del uso de equipos y programación informáticos, incluidos la impresión, instalación, tratamiento de textos, correo electrónico y sistemas operativos.
15-1051.00	Analistas de sistemas informáticos	Analizan problemas de procesamiento de datos científicos, ingenieros, empresariales y demás para su aplicación a los sistemas electrónicos de tratamiento de datos. Analizan las necesidades, procedimientos y problemas del usuario a fin de automatizar o mejorar los sistemas existentes y revisar las capacidades, el flujo de trabajo y las limitaciones del cronograma del sistema informático. Pueden analizar o recomendar programas disponibles en el mercado.  Pueden supervisar a los programadores de informáticos.
15-1061.00	Administradores de bases de datos	Coordinan cambios a las bases de datos informatizados, prueban e implantan la base de datos aplicando los conocimientos de los sistemas de gestión de bases de datos. Pueden planificar, coordinar y aplicar medidas de seguridad  para salvaguardar las bases de datos informatizados.
15-1071.00	Administradores de redes y de sistemas informáticos	Instalan, configuran y apoyan la red de área local (LAN), la red de gran  amplitud (WAN) y el sistema de Internet o un segmento de un sistema de red de una organización. Dan mantenimiento al equipo y los programas informáticos. Vigilan la red para asegurar su disponibilidad para todos los usuarios del sistema y realizan el mantenimiento necesario para apoyar la disponibilidad de la red. Pueden supervisar a otros especialistas de apoyo a la red y a los servicios a los clientes, y planificar, coordinar y ejecutar las medidas de seguridad de la red.
15-1071.01	Especialistas en seguridad de cómputo	Planean, coordinan e implementan medidas de seguridad de los sistemas de informática para evitar el acceso a los archivos de la computadora y para prevenir la modificación no autorizada, la destrucción o revelación de información.
15-1081.00	Analistas de sistemas de redes y de comunicación de datos	Analizan, diseñan, prueban y evalúan sistemas de redes, tales como las redes de área local (LAN), las redes de gran amplitud (WAN), Internet, intranet, y otros sistemas de comunicación de datos. Realizan modelado, análisis y planificación de redes. Investigan y recomiendan equipos y programas para redes y comunicación de datos. Se incluye a los especialistas en telecomunicaciones que tienen que ver con la interfaz entre el equipo informático y de comunicación. Pueden supervisar a programadores de operaciones informáticas.
15-1099.99	Otros especialistas en operaciones informáticas	Todos los especialistas en computación no clasificados bajo otros epígrafes.
15-2011.00	Actuarios	Analizan datos estadísticos, como índices de mortalidad, accidentes, enfermedades, incapacidad, y jubilación y construyen cuadros para pronosticar riesgos y obligaciones con vistas al pago de futuras prestaciones. Pueden verificar las primas requeridas y las reservas de efectivo necesarias para garantizar el pago de futuras prestaciones.
15-2021.00	Matemáticos	Realizan investigaciones en matemática básica o sobre la aplicación de técnicas matemáticas a las ciencias, la gestión y otros campos. Resuelven o dirigen las soluciones de problemas en diversas esferas empleando métodos matemáticos.
15-2031.00	Analistas de investigación de operaciones	Formulan y aplican modelaje matemático y otros métodos de optimización empleando la informática para desarrollar e interpretar información que ayude a la administración en la elaboración de políticas de formulación de decisiones y otras funciones de su competencia. Pueden desarrollar los programas, servicios y productos informáticos requeridos. Se concentran con frecuencia en la recopilación y el análisis de datos y en el desarrollo de programas informáticos de apoyo a las decisiones. Pueden desarrollar y proporcionar redes de logística, tiempo óptimo y costo para la evaluación, revisión y ejecución de programas.
15-2041.00	Estadísticos	Se dedican al desarrollo de la teoría matemática o a la aplicación de la teoría y los métodos estadísticos para recopilar, organizar, interpretar y resumir datos numéricos a fin de proporcionar información utilizable. Pueden especializarse en campos tales como bioestadística, estadística agrícola, estadística comercial, estadística económica y otros.
15-2091.00	Técnicos matemáticos	Aplican fórmulas normalizadas, principios y metodología matemáticos a los problemas técnicos de ingeniería y las ciencias de la física relacionados con objetivos, procesos, equipos y productos industriales y de investigación específicos.
15-2099.99	Otras ocupaciones relacionadas con las ciencias matemáticas	Todos los profesionales de las ciencias matemáticas no clasificados bajo otros epígrafes.
15-3011.00	Técnicos en matemáticas	Aplican fórmulas, principios y metodología matemática a problemas técnicos en las áreas de ingeniería y de las ciencias físicas, que están relacionados con objetivos, procesos, equipo y productos específicos de la industria y de investigación.
17-1011.00	Arquitectos,  excepto paisajistas y navales	Planifican y proyectan estructuras, tales como residencias privadas, edificios de oficinas, teatros, fábricas y otras propiedades estructurales.
17-1012.00	Arquitectos paisajistas	Planifican y proyectan la ordenación de los terrenos para proyectos como parques y otras instalaciones recreativas, aeropuertos, carreteras, hospitales, escuelas, parcelaciones y zonas comerciales, industriales y residenciales.
17-1021.00	Cartógrafos y fotogrametristas	Recopilan, analizan e interpretan la información geográfica que suministran los levantamientos geodésicos, fotos aéreas y datos de satélites. Investigan, estudian y preparan mapas y otros datos espaciales en forma digital o gráfica para fines jurídicos, sociales, políticos, educacionales y de diseño. Pueden trabajar con Sistemas de Información Geográfica (GIS, por sus siglas en inglés). Pueden diseñar y evaluar algoritmos, estructuras de datos e interfaces con los usuarios para los GIS y los sistemas de cartografía.
17-1022.00	Agrimensores	Realizan mediciones exactas y determinan los linderos de las propiedades. Proporcionan datos acerca de la forma, contorno, gravitación, ubicación, elevación y dimensiones del terreno y sus características en la superficie de la tierra o cerca de ella para fines de ingeniería, cartografía, minería, evaluación del terreno, construcción y otros.
17-2011.00	Ingenieros aeroespaciales	Realizan diversas labores de ingeniería en el diseño, construcción y prueba de aeronaves, misiles y naves espaciales.  Pueden llevar a cabo investigaciones básicas y aplicadas para evaluar la adaptabilidad de los materiales y los equipos al diseño y fabricación de aeronaves. Pueden recomendar mejoras a los equipos y técnicas de prueba.
17-2021.00	Ingenieros agrónomos	Aplican los conocimientos de tecnología ingeniera y ciencias biológicas a los problemas agrícolas relativos a la energía y la maquinaria, la electrificación, estructuras, la conservación de suelos y del agua, y procesamiento de productos agrícolas.
17-2031.00	Ingenieros biomédicos	Aplican los conocimientos de ingeniería, biología y los principios biomecánicos al diseño, desarrollo y evaluación de sistemas y productos biológicos y de salud, tales como órganos artificiales, prótesis, instrumental, sistemas de información médica, y sistemas de gestión y de prestación de cuidados de salud.
17-2041.00	Ingenieros químicos	Diseñan equipos para plantas químicas y crean procesos para la fabricación de sustancias y productos químicos, como gasolina, caucho sintético, plásticos, detergentes, cemento, papel y pulpa, aplicando los principios y la tecnología de la química, la física y la ingeniería.
